City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max_temp,Windspeed
Capreol,CA,1555819307,20,52,46.71,-80.92,42.8,8.05
Boksitogorsk,RU,1555819295,0,89,59.47,33.85,33.01,2.82
Clyde River,CA,1555817880,90,84,70.47,-68.59,-2.21,17.22
Faya,SA,1555815600,40,88,18.39,42.45,64.4,6.93
La Romana,DO,1555815600,20,100,18.43,-68.97,75.2,5.17
Sisimiut,GL,1555819228,73,58,66.94,-53.67,30.38,7.63
Urukh,RU,1555817400,93,96,43.3,44.03,35.6,6.71
Labuhan,ID,1555819330,12,68,-2.54,115.51,87.64,2.1
Khanpur,PK,1555819227,0,25,28.65,70.66,89.9,11.3
Pacific Grove,US,1555819325,90,66,36.62,-121.92,55.99,8.05
Santa Fe,AR,1555819206,65,66,-31.62,-60.7,66.0,5.01
Vestmannaeyjar,IS,1555819315,100,74,63.44,-20.27,43.55,9.86
Presidencia Roque Saenz Pena,AR,1555819241,89,96,-26.79,-60.44,73.18,5.66
Cabedelo,BR,1555815600,40,100,-6.97,-34.84,75.2,2.24
Poltavka,RU,1555819332,0,64,54.36,71.76,38.19,9.37
Ixtapa,MX,1555819204,5,83,20.71,-105.21,75.99,2.93
Pescara,IT,1555819296,80,81,42.46,14.21,57.0,5.82
Yulara,AU,1555815600,26,28,-25.24,130.99,71.6,11.41
Amritsar,IN,1555817400,0,54,31.63,74.87,84.2,2.24
Kaeo,NZ,1555819091,17,91,-35.1,173.78,68.0,7.05
Tautira,PF,1555818786,20,70,-17.73,-149.15,84.2,12.75
Mahebourg,MU,1555819144,75,83,-20.41,57.7,80.01,16.11
Tomaszow Mazowiecki,PL,1555819120,0,79,51.53,20.01,45.0,3.36
Kyren,RU,1555819334,89,74,51.68,102.13,33.62,7.65
Poso,ID,1555819334,95,88,-1.4,120.75,69.4,1.74
Gallup,US,1555815180,1,15,35.53,-108.74,59.0,9.17
Khandbari,NP,1555819334,42,38,27.38,87.21,57.36,3.85
Avera,US,1555819332,40,93,33.19,-82.53,51.8,5.06
Cabo San Lucas,MX,1555818906,20,47,22.89,-109.91,75.99,4.7
Marawi,PH,1555819259,71,78,8.0,124.29,84.0,8.99
Gravdal,NO,1555819324,100,70,59.79,5.78,50.0,11.41
Rafai,CF,1555819335,99,65,4.95,23.92,72.16,0.11
Ibra,OM,1555819335,0,43,22.69,58.55,76.31,4.34
Lekoni,GA,1555819335,99,95,-1.58,14.26,70.93,4.72
Malinovoye Ozero,RU,1555819336,0,47,51.68,79.77,40.53,9.04
Datong,CN,1555819336,0,27,40.09,113.3,65.15,6.08
Rawson,AR,1555819336,0,50,-43.3,-65.11,58.55,7.18
Ormara,PK,1555819337,0,60,25.21,64.64,79.19,5.99
Hobyo,SO,1555819337,93,77,5.35,48.53,82.31,9.51
Zhigansk,RU,1555819337,100,94,66.77,123.37,28.7,7.94
Gull Lake,CA,1555815600,75,31,50.1,-108.48,50.0,11.41
Tamandare,BR,1555819337,100,96,-8.28,-70.75,75.27,1.72
Bodden Town,KY,1555819204,20,83,19.28,-81.25,78.8,8.34
Maiduguri,NG,1555819338,81,25,11.84,13.15,84.41,2.51
Kaitangata,NZ,1555819326,70,65,-46.28,169.85,55.99,3.0
Morehead,US,1555819204,90,93,38.18,-83.43,42.8,5.82
Necochea,AR,1555818374,6,80,-38.55,-58.74,51.01,1.01
Lixourion,GR,1555819328,75,82,38.2,20.43,60.01,8.05
Moron de la Frontera,ES,1555819301,20,72,37.12,-5.45,62.01,4.7
Bathsheba,BB,1555815600,75,78,13.22,-59.52,78.8,23.04
Sao Filipe,CV,1555819339,45,83,14.9,-24.5,71.33,15.95
Tra Vinh,VN,1555819339,55,45,9.93,106.35,93.0,6.51
Abu Samrah,SY,1555819340,100,81,35.3,37.18,48.97,3.06
Saint-Pierre,FR,1555817400,0,70,48.95,4.24,51.8,10.29
Dali,CN,1555819341,0,32,25.6,100.24,68.93,8.08
Saint Augustine,TT,1555819267,40,83,10.65,-61.4,81.0,8.16
Mumbwa,ZM,1555819341,0,96,-14.99,27.06,59.02,3.87
Vitim,RU,1555819342,100,85,59.44,112.57,31.26,11.81
San Rafael,AR,1555819343,0,33,-34.61,-68.33,58.85,1.41
Awjilah,LY,1555819343,0,38,29.14,21.3,64.29,15.14
Bar Harbor,US,1555819331,90,100,44.39,-68.2,57.0,14.99
Chabahar,IR,1555819344,0,43,25.29,60.65,83.42,3.87
Urucara,BR,1555819344,75,93,-2.54,-57.76,75.61,1.19
Lompoc,US,1555819228,40,81,34.64,-120.46,55.99,5.82
Itoman,JP,1555818790,75,74,26.12,127.67,78.8,6.93
Bandarbeyla,SO,1555819345,51,71,9.49,50.81,78.47,1.57
Richards Bay,ZA,1555819345,20,77,-28.77,32.06,75.58,21.72
Lima,PE,1555818904,0,88,-12.06,-77.04,71.01,2.24
Pudozh,RU,1555819346,0,94,61.81,36.54,30.38,2.39
Adrar,DZ,1555815600,0,15,27.87,-0.29,71.6,9.17
Tezu,IN,1555819346,74,33,27.93,96.16,80.65,3.42
Thaton,MM,1555819346,6,76,16.91,97.37,85.22,10.85
Ambilobe,MG,1555819347,89,81,-13.19,49.05,73.78,6.69
Spassk,RU,1555819347,27,57,53.93,43.19,42.58,3.22
Barcelona,ES,1555819083,0,55,41.38,2.18,61.0,21.92
Dzhuryn,UA,1555817400,90,70,49.03,25.58,44.6,2.24
Tiksi,RU,1555819348,100,76,71.64,128.87,15.96,15.14
Awbari,LY,1555819348,100,11,26.59,12.77,75.0,16.11
Hyeres,FR,1555819295,0,42,43.12,6.14,66.2,14.99
Xichang,CN,1555819348,32,53,27.88,102.25,62.13,4.38
Ankpa,NG,1555819349,100,76,7.37,7.63,79.95,7.05
Airai,TL,1555819349,38,49,-8.93,125.41,89.38,1.86
College,US,1555819243,40,41,64.86,-147.8,41.0,11.41
Koslan,RU,1555819349,100,86,63.46,48.9,33.2,8.3
Harper,US,1555819323,1,59,30.3,-99.24,68.0,3.36
Hailey,US,1555819225,90,87,43.52,-114.32,46.4,6.93
Nikolskoye,RU,1555819237,0,92,59.7,30.79,36.0,4.47
Mayor Pablo Lagerenza,PY,1555819350,19,63,-19.93,-60.77,80.09,5.5
Yekaterinovka,RU,1555819351,0,63,46.69,38.75,43.19,14.34
Laguna,MX,1555819351,0,54,27.52,-110.01,73.97,13.15
Pechenga,RU,1555819351,0,90,58.89,41.46,37.69,1.74
Gorontalo,ID,1555819351,80,52,0.54,123.06,91.0,4.16
San Fernando,TT,1555819267,40,83,10.28,-61.46,81.0,8.16
Russell,AR,1555815600,40,39,-33.01,-68.8,66.2,6.93
Tual,ID,1555819353,35,74,-5.67,132.75,85.6,13.11
Port Said,EG,1555819353,0,42,25.34,30.55,61.32,12.17
San Patricio,PY,1555819353,100,95,-26.98,-56.83,71.65,3.69
Nenjiang,CN,1555819353,0,16,49.17,125.23,47.62,13.89
Puerto Escondido,MX,1555814400,40,69,15.86,-97.07,80.6,8.05
Kashan,IR,1555819354,2,54,33.99,51.44,41.18,4.12
Codrington,AU,1555819249,40,57,-28.95,153.24,78.01,13.87
Phalaborwa,ZA,1555815600,38,88,-23.95,31.14,66.2,8.05
Escanaba,US,1555819208,90,26,45.75,-87.06,51.01,4.9
Westport,IE,1555819323,100,96,53.8,-9.52,51.01,5.01
Viedma,AR,1555819355,0,56,-40.81,-62.99,54.5,5.01
Mitu,IR,1555819355,0,83,36.2,46.09,35.24,4.63
Jalingo,NG,1555819356,10,11,10.3,10.93,78.51,3.24
Fortuna,ES,1555819352,40,62,38.18,-1.13,59.0,11.41
Svetlaya,RU,1555819356,100,31,46.54,138.33,51.44,5.55
Pervomayskiy,RU,1555819357,0,48,53.24,40.29,43.79,0.96
Bahia de Caraquez,EC,1555815600,75,78,-0.6,-80.42,78.8,4.7
Panaba,MX,1555819357,0,55,21.28,-88.27,71.18,4.72
Ust-Ilimsk,RU,1555819357,99,58,57.96,102.73,36.28,3.87
Dryden,CA,1555815600,40,37,49.79,-92.84,51.8,2.24
Hay River,CA,1555815600,75,80,60.82,-115.79,30.2,3.36
Mudanya,TR,1555816800,75,93,40.38,28.88,45.0,8.05
Kahului,US,1555819281,75,78,20.89,-156.47,78.01,14.99
Erdenet,MN,1555819358,91,31,49.03,104.04,48.43,5.88
Sao Joao da Barra,BR,1555819311,0,95,-21.64,-41.05,70.03,1.97
Batagay-Alyta,RU,1555819359,89,90,67.8,130.41,16.48,5.86
Oranjemund,ZA,1555819359,0,87,-28.55,16.43,59.74,25.08
Garowe,SO,1555819359,50,74,8.41,48.48,77.25,10.58
San Ramon,NI,1555819330,77,93,12.92,-85.84,66.0,4.0
Caboolture,AU,1555819300,40,65,-27.08,152.95,82.0,12.75
Dedougou,BF,1555819360,12,37,12.47,-3.47,90.52,9.04
Rehnan,IR,1555817400,0,49,32.68,51.6,48.2,4.7
Kalmunai,LK,1555819361,95,63,7.42,81.82,84.95,2.68
Baculin,PH,1555819362,51,68,7.45,126.58,83.42,4.97
Uglovskoye,RU,1555819362,0,48,51.36,80.19,40.21,8.05
Quang Ngai,VN,1555819362,57,24,15.12,108.8,106.14,1.14
Navirai,BR,1555819362,11,77,-23.07,-54.19,74.96,4.79
Opuwo,NA,1555819211,12,53,-18.06,13.84,71.6,1.21
Boyolangu,ID,1555819362,38,63,-8.09,111.9,83.24,6.06
Fairbanks,US,1555819332,40,41,64.84,-147.72,41.0,11.41
Lac du Bonnet,CA,1555819207,94,40,50.25,-96.06,52.0,5.91
Ketchikan,US,1555815180,20,70,55.34,-131.65,44.6,4.7
Emerald,AU,1555819145,90,57,-23.53,148.16,80.6,10.29
Komsomolskiy,RU,1555819364,100,96,67.55,63.78,32.38,10.8
Tamiahua,MX,1555819364,0,82,21.28,-97.45,72.8,12.73
Zyryanka,RU,1555819364,95,92,65.73,150.89,28.58,10.67
Verkhnyaya Inta,RU,1555819365,100,91,65.99,60.32,33.65,16.49
Acapulco,MX,1555815000,40,94,16.86,-99.88,77.0,3.36
Vorukh,KG,1555819365,77,46,39.85,70.57,60.67,2.84
Biak,ID,1555819365,100,96,-0.91,122.88,67.48,1.54
Jatai,IN,1555819366,0,23,28.97,76.18,87.49,2.15
Varkkallai,IN,1555817400,40,74,8.73,76.71,84.2,4.7
Kodiak,US,1555819323,1,16,39.95,-94.76,64.99,11.41
Nouakchott,MR,1555817400,0,72,18.08,-15.98,68.0,13.87
Taldan,RU,1555819367,2,33,53.69,124.82,36.03,13.06
Kabanjahe,ID,1555815600,40,74,3.1,98.49,86.0,4.7
Qinzhou,CN,1555819367,77,72,21.96,108.62,85.94,7.09
Iquique,CL,1555815600,90,64,-20.22,-70.14,68.0,5.82
Morag,PL,1555819090,0,71,53.92,19.93,39.0,4.59
Poum,MK,1555819368,7,77,41.28,20.71,38.6,3.24
Ostrovnoy,RU,1555819368,100,96,68.05,39.51,36.79,17.38
Kinshasa,CD,1555819368,100,94,-4.32,15.31,73.81,3.74
Nakusp,CA,1555819231,22,99,50.24,-117.8,35.01,3.0
Ola,RU,1555819368,70,85,59.58,151.3,33.15,5.79
Wiltz,LU,1555819287,0,47,49.97,5.93,55.4,10.29
Suntar,RU,1555819369,53,59,62.16,117.65,29.35,7.83
Antofagasta,CL,1555815600,90,68,-23.65,-70.4,64.4,5.82
Mojo,ET,1555819369,89,74,8.59,39.12,65.3,1.16
Sohag,EG,1555819369,0,53,26.55,31.7,57.43,16.11
Gushikawa,JP,1555818790,90,83,26.35,127.87,78.8,16.11
Chirongui,YT,1555817400,100,83,-12.93,45.15,84.2,13.87
High Level,CA,1555815600,75,30,58.52,-117.13,46.4,8.05
Upata,VE,1555819370,30,73,8.02,-62.41,76.03,7.85
Voi,KE,1555819371,87,92,-3.4,38.57,69.53,4.74
Tadine,NC,1555819371,100,82,-21.55,167.88,77.81,22.62
Plettenberg Bay,ZA,1555819205,89,91,-34.05,23.37,54.53,2.84
Grindavik,IS,1555818722,75,80,63.84,-22.43,43.0,9.17
Kotka,FI,1555819311,0,86,60.47,26.95,39.99,5.82
Megalopoli,GR,1555818940,20,87,37.4,22.14,52.0,3.6
Meadow Lake,CA,1555819372,57,52,54.13,-108.44,43.86,4.97
Dubrovka,RU,1555819237,0,92,59.85,30.93,36.0,4.47
Toora-Khem,RU,1555819372,100,56,52.47,96.11,35.0,2.13
Gornopravdinsk,RU,1555819372,84,91,60.06,69.92,33.65,7.34
Kensington,CA,1555819371,90,100,46.44,-63.64,41.0,2.24
Vangaindrano,MG,1555819360,73,97,-23.35,47.6,68.43,4.43
Coquimbo,CL,1555815600,0,81,-29.95,-71.34,53.6,4.7
Ukiah,US,1555818973,1,62,39.15,-123.21,57.0,9.17
Saint-Georges,CA,1555819236,100,95,46.12,-70.67,39.0,1.01
Zavetnoye,RU,1555819374,0,52,47.12,43.89,39.5,7.92
Mandalgovi,MN,1555819374,75,28,45.76,106.27,57.47,9.82
Aasiaat,GL,1555819375,100,68,68.71,-52.87,24.38,11.83
Baruun-Urt,MN,1555819375,0,17,46.68,113.28,50.88,13.87
Vila,IT,1555819329,0,71,45.18,8.4,59.0,9.17
Myitkyina,MM,1555819375,5,34,25.38,97.4,84.43,2.93
Florianopolis,BR,1555819095,0,83,-27.6,-48.55,72.0,1.41
Maunabo,PR,1555819330,75,74,18.01,-65.9,78.8,4.7
Bima,ID,1555819376,100,68,-8.45,118.73,83.95,5.14
Banda Aceh,ID,1555819376,63,71,5.56,95.32,85.42,9.22
Abha,SA,1555815600,40,88,18.22,42.5,64.4,6.93
Roanoke Rapids,US,1555819354,90,93,36.46,-77.65,55.4,4.7
Ilovka,RU,1555819377,100,68,56.89,86.82,31.69,9.95
Balikpapan,ID,1555817400,40,79,-1.24,116.86,86.0,4.7
Havre-Saint-Pierre,CA,1555817460,90,87,50.23,-63.6,33.8,5.82
Shingu,JP,1555815600,75,77,33.72,135.99,69.8,12.75
Alampur,IN,1555819377,30,34,15.88,78.14,94.26,10.63
Beloha,MG,1555819377,0,88,-25.17,45.06,68.25,7.27
Vilhena,BR,1555819378,100,97,-12.74,-60.15,72.61,2.91
Rio Gallegos,AR,1555815600,20,76,-51.62,-69.22,48.2,20.8
Port-Gentil,GA,1555819205,100,77,-0.72,8.78,82.38,6.76
Yerbogachen,RU,1555819378,0,67,61.28,108.01,27.26,10.11
Moroni,US,1555819144,82,35,39.52,-111.59,62.01,5.99
Kaohsiung,TW,1555818920,90,78,22.62,120.31,82.4,2.24
Hearst,CA,1555819378,95,85,49.69,-83.67,39.27,4.99
Yook,PH,1555819379,53,75,13.23,121.96,83.57,5.77
Ternate,PH,1555819247,20,52,14.29,120.72,93.2,9.17
Magdalena,BO,1555819379,100,91,-13.26,-64.05,76.48,5.19
Gaffney,US,1555819200,1,100,35.07,-81.65,48.2,3.36
Meulaboh,ID,1555819380,99,80,4.14,96.13,83.35,4.97
Union,US,1555819202,1,87,47.36,-123.1,55.99,2.82
Eskil,TR,1555819381,55,80,38.4,33.41,31.35,18.1
Lar,IR,1555815600,20,72,27.66,54.32,60.8,2.42
Bafq,IR,1555819381,0,24,31.6,55.4,60.83,6.93
Kruisfontein,ZA,1555819381,82,88,-34.0,24.73,53.42,5.86
Shenjiamen,CN,1555819381,77,88,29.96,122.3,68.02,13.56
Conceicao do Araguaia,BR,1555819382,100,86,-8.26,-49.26,76.39,1.28
Mount Gambier,AU,1555815600,75,77,-37.83,140.78,60.8,13.87
Deputatskiy,RU,1555819382,83,94,69.3,139.9,15.24,7.94
Gari,RU,1555819382,65,74,59.43,62.35,38.89,7.83
Egvekinot,RU,1555819382,85,85,66.32,-179.17,9.1,5.77
Qandala,SO,1555819383,28,60,11.47,49.87,84.11,1.74
Rodrigues Alves,BR,1555815600,0,100,-7.74,-72.65,75.2,1.74
Serenje,ZM,1555819383,3,99,-13.23,30.22,57.29,4.63
Ponta Delgada,PT,1555819335,75,87,37.73,-25.67,59.0,11.41
Askiz,RU,1555819383,99,83,53.13,90.53,33.62,1.66
Camapua,BR,1555819384,0,84,-19.53,-54.04,71.02,2.86
Martapura,ID,1555817400,40,70,-3.41,114.85,87.8,5.82
Bud,NO,1555818600,75,100,62.91,6.91,46.4,12.75
Okhotsk,RU,1555819384,100,96,59.36,143.24,31.89,25.97
Sao Gabriel da Cachoeira,BR,1555819223,100,97,-0.13,-67.09,75.13,1.63
West Wendover,US,1555815360,90,48,40.74,-114.07,60.8,11.41
Constantine,DZ,1555817400,99,93,36.36,6.61,53.6,2.24
Kamenka,RU,1555818515,22,45,53.19,44.05,41.0,4.59
Tabuk,PH,1555819385,20,44,17.41,121.44,85.3,3.11
Kargopol,RU,1555819385,0,91,61.51,38.95,31.4,3.33
Kadi,IN,1555819359,0,37,23.3,72.33,86.05,8.7
Nantucket,US,1555819262,90,100,41.28,-70.1,62.01,9.17
Penzance,GB,1555819385,22,57,50.12,-5.53,57.99,8.05
Kaduqli,SD,1555819386,93,7,11.01,29.72,84.77,15.03
Kem,UG,1555819387,70,85,2.68,33.77,68.7,3.2
Shizunai,JP,1555819099,0,51,42.33,142.37,46.33,8.68
High Rock,BS,1555819387,14,58,26.63,-78.28,74.57,5.23
Bulancak,TR,1555817580,75,93,40.94,38.23,42.8,3.36
Kelowna,CA,1555819229,1,43,49.89,-119.5,50.0,5.82
Los Llanos de Aridane,ES,1555819329,75,77,28.66,-17.92,64.4,16.11
Purpe,RU,1555819388,21,90,64.48,76.69,14.54,8.57
Islampur,IN,1555819388,0,28,26.26,88.19,87.24,13.65
Muisne,EC,1555819388,83,86,0.61,-80.02,79.3,6.58
Chipinge,ZW,1555819388,0,82,-20.19,32.62,59.21,4.0
Maxixe,MZ,1555819388,0,96,-23.86,35.35,67.04,2.73
Xai-Xai,MZ,1555819389,0,89,-25.04,33.64,68.07,2.62
Inhambane,MZ,1555819389,0,96,-23.87,35.38,67.04,2.73
Narsaq,GL,1555815000,50,69,60.91,-46.05,35.6,8.05
Shelabolikha,RU,1555817400,0,35,53.41,82.62,42.8,15.66
Rocha,UY,1555819390,1,89,-34.48,-54.34,52.5,5.23
Coos Bay,US,1555819245,90,76,43.37,-124.22,51.8,10.29
Sterlibashevo,RU,1555819390,88,70,53.44,55.26,38.59,4.41
La Ronge,CA,1555816560,75,56,55.1,-105.3,44.6,2.84
Kemin,KG,1555819265,79,57,42.79,75.7,52.32,4.81
Alyangula,AU,1555815600,63,55,-13.85,136.42,89.6,11.41
Eregli,TR,1555819260,92,82,37.51,34.05,30.92,5.26
La Vega,DO,1555818946,20,88,19.22,-70.53,77.0,13.87
Yablonovo,RU,1555817400,0,48,50.85,37.36,41.0,2.24
Axim,GH,1555819392,100,83,4.87,-2.24,81.23,5.59
Sawakin,SD,1555819392,0,45,19.1,37.33,63.95,2.26
Nago,IT,1555819364,0,62,45.88,10.89,55.99,2.24
Tevaitoa,PF,1555819393,0,69,-16.78,-151.5,84.41,7.43
Ishigaki,JP,1555815600,75,83,24.34,124.16,78.8,5.82
Kintinku,TZ,1555819393,71,92,-5.89,35.22,65.77,0.43
Carutapera,BR,1555819393,100,93,-1.2,-46.02,77.25,5.39
Tromso,NO,1555816800,75,86,69.65,18.96,42.8,26.4
Bhum,IN,1555819394,14,16,18.47,75.67,89.63,14.99
Helena,US,1555819290,90,81,46.59,-112.04,44.6,9.17
